Label100,Label106,Label107,Label108,Label109,Label11,Label110,Label111,Label112,Label12,Label13,Label14,Label15,Label17,Label18,Label19,Label2,Label20,Label22,Label23,Label27,Label3,Label37,Label4,Label42,Label43,Label49,Label5,Label50,Label51,Label52,Label53,Label55,Label57,Label58,Label59,Label6,Label62,Label63,Label64,Label65,Label67,Label68,Label69,Label70,Label71,Label72,Label73,Label74,Label75,Label76,Label77,Label78,Label79,Label80,Label81,Label86,Label87,Label89,Label9,Label92,Label93,Label94,Label95,Label96,Label97,Label98,Label99,Language
*vs Yesterday,Overview,Emergency Requests,Emergency Request Status,Exposed Contact Details,vs Yesterday,Total Self-Reported,Emergency Response Overview,Visit Details,This Week,vs Last Week,Request Status,Exposed Contacts Status,Emergency Requests Overview,Total Requests,Requests by Type,Patients,Total Patients,Total Exposed Contacts,Patient Details,Testing Status,Self-Reported Individuals,Self-Reported Individual Details,Exposed Contacts,Intake Details,Emergency Request Details,Public Health Analytics,Requests,Intake,Patients by Condition,Testing Status,Monitored at Home,Patient Count Over Time,Average Days,Minimum Days,Maximum Days,By State and City,Details,Demographics,Patients by State,Patients by City,Patients by Age,Patients by Gender,Asymptomatic Patients,Symptomatic Patients,Tested Positive,Contacts Traced,Total Intake,Enrolled as Patient,Flow of Intake Source to Current Status,Intake Over Time,Days in New Status,Exposed Contacts by Patient,Intake by State,Intake by City,of Total Intake,Show More,Show Less,Visitor and Visit Trends,Today,Total Visits Trend,Visits by Status,Visits by State,Visits by City,Visits,Total Visits,Completed Visits,Total Visitors,en_US
*较昨日,概览,紧急请求,紧急请求状态,接触人详细信息,与昨天,自行报告总数,紧急响应概览,就诊详细信息,本星期,与上周,请求状态,公开的联系人状态,紧急请求概览,请求总计,按类型的请求,患者,患者总计,接触人总计,患者详细信息,检测状态,自行报告的个人,自行报告的个人详细信息,公开的联系人,收治详细信息,紧急请求详细信息,公共卫生分析,请求,收治,按病情的患者,检测状态,居家监测,实时患者人数,平均天数,最少天数,最多天数,按州/省和城市,详细信息,人口统计数据,按州/省的患者,按城市的患者,按年龄的患者,按性别的患者,无症状患者,有症状患者,测试阳性,接触人跟踪,收治总计,转为患者,收治来源到当前状态的流,实时收治,新状态天数,按患者的接触人,按州/省的收治,按城市的收治,收治总计,显示更多,显示更少,就诊人和就诊趋势,今天,就诊趋势总计,按状态的就诊,按州/省的就诊,按城市的就诊,就诊,就诊总计,完成就诊,就诊人总计,zh_CN
*對比昨天,概觀,緊急要求,緊急要求狀態,接觸者詳細資料,對比昨天,自行舉報者總數,緊急應變概觀,造訪詳細資料,本週,對比上週,要求狀態,接觸者狀態,緊急要求概觀,總要求,要求 (按類型),病患,病患總數,接觸者總數,病患詳細資料,測試狀態,自行舉報的個人,自行舉報的個人詳細資料,接觸者,入院詳細資料,緊急要求詳細資料,Public Health Analytics,要求,入院,病患數 (按病情),測試狀態,在家監控,隨著時間的推移病患計數,平均天數,最少天數,最多天數,按州/省和城市,詳細資料,人口統計,病患數 (按州/省),病患數 (按城市),病患數 (按年齡),病患數 (按性別),無症狀病患,有症狀病患,測試陽性,已追蹤的連絡人,總入院數,註冊為病患,入院來源到目前狀態的流程,隨著時間推移的入院數,新狀態天數,接觸者數 (按病患),入院數 (按州/省),入院數 (按城市),總入院數,顯示較多,顯示較少,訪客和造訪趨勢,今天,總造訪數趨勢,造訪數 (按狀態),造訪數 (按州/省),造訪數 (按城市),造訪數,總造訪數,完成的造訪數,總訪客數,zh_TW
*i forhold til i går,Oversigt,Nødhjælpsanmodninger,Status for nødhjælpsanmodning,Detaljer om eksponeret kontakt,i forhold til i går,Selvrapporterede i alt,Oversigt over beredskabsplan,Besøgsoplysninger,Denne uge,i forhold til sidste uge,Anmodningsstatus,Status for eksponerede kontakter,Oversigt over nødhjælpsanmodninger,Anmodninger i alt,Anmodninger efter type,Patienter,Patienter i alt,Eksponerede kontakter i alt,Patientdetaljer,Teststatus,Selvrapporterede personer,Detaljer om selvrapporterede personer,Eksponerede kontakter,Registreringsdetaljer,Detaljer om nødhjælpsanmodning,Folkesundhedsanalyse,Anmodninger,Registrering,Patienter efter sygdom,Teststatus,Overvåget hjemme,Patientantal over tid,Gennemsnitligt antal dage,Minimalt antal dage,Maksimalt antal dage,Efter stat og by,Detaljer,Demografi,Patienter efter stat,Patienter efter by,Patienter efter alder,Patienter efter køn,Patienter uden symptomer,Patienter med symptomer,Testet positiv,Sporede kontakter,Registreringer i alt,Tilmeldt som patient,Forløb af registreringskilde til aktuel status,Registrering over tid,Dage med ny status,Eksponerede kontakter efter patient,Registrering efter stat,Registrering efter by,af registreringer i alt,Vis mere,Vis mindre,Besøgende og besøgstendenser,I dag,Tendens for besøg i alt,Besøg efter status,Besøg efter stat,Besøg efter by,Besøg,Besøg i alt,Fuldførte besøg,Besøgende i alt,da
*t.o.v. gisteren,Overzicht,Noodverzoeken,Status van noodverzoeken,Details van blootgestelde contacten,t.o.v. gisteren,Totaal zelfgerapporteerd,Overzicht noodmaatregelen,Details van bezoek,Deze week,t.o.v. vorige week,Verzoekstatus,Status van blootgestelde contacten,Overzicht noodverzoeken,Totaal verzoeken,Verzoeken op type,Patiënten,Totaal patiënten,Totaal blootgestelde contacten,Details van patiënt,Teststatus,Zelfgerapporteerde individuen,Details van zelfgerapporteerd individu,Blootgestelde contacten,Details van intake,Details van noodverzoek,Analytics Volksgezondheid,Verzoeken,Intake,Patiënten op aandoening,Teststatus,Thuis bewaakt,Telling van patiënten na verloop van tijd,Gemiddelde aantal dagen,Minimumaantal dagen,Maximumaantal dagen,Per staat en stad,Details,Demografische gegevens,Patiënten op staat,Patiënten op stad,Patiënten op leeftijd,Patiënten op geslacht,Asymptomatische patiënten,Symptomatische patiënten,Positief getest,Contacten getraceerd,Totaal intake,Ingeschreven als patiënt,Stroom van intake Bron tot huidige status,Intake na verloop van tijd,Dagen in nieuwe status,Blootgestelde contacten op patiënt,Intake op staat,Intake op stad,van totale intake,Meer tonen,Minder tonen,Trends van bezoekers en bezoeken,Vandaag,Trend van totale bezoeken,Bezoeken op status,Bezoeken op staat,Bezoeken op stad,Bezoeken,Totaal bezoeken,Voltooide bezoeken,Totaal bezoekers,nl_NL
*verrattuna eiliseen,Yleiskatsaus,Hätäpyynnöt,Hätäpyyntöjen tilat,Altistuneiden henkilöiden tiedot,vs eilen,Itse ilmoittautuneet henkilöt yhteensä,Hätäpyyntöjen yleiskatsaus,Käynnin tiedot,Tämä viikko,vs viime viikko,Pyynnön tila,Altistuneiden yhteyshenkilöiden tila,Hätäpyyntöjen yleiskatsaus,Pyyntöjä yhteensä,Pyynnöt tyypin mukaan,Potilaat,Potilaita yhteensä,Altistuneita yhteyshenkilöitä yhteensä,Potilaan lisätiedot,Testauksen tila,Itse ilmoittautuneet henkilöt,Itse ilmoittautuneen yksityishenkilön lisätiedot,Altistuneet yhteyshenkilöt,Tietojenkeruun lisätiedot,Hätäpyynnön lisätiedot,Public Health Analytics,Pyynnöt,Tietojenkeruu,Potilaat sairauden mukaan,Testauksen tila,Valvottu kotona,Potilaiden määrä ajanjaksolta,Päivien keskiarvoinen määrä,Päiviä vähintään,Päiviä enintään,Osavaltion ja kaupungin mukaan,Lisätiedot,Demografiat,Potilaat tilan mukan,Potilaat kaupungin mukaan,Potilaat iän mukaan,Potilaat sukupuolen mukaan,Oireettomat potilaat,Oireelliset potilaat,Testattu positiiviseksi,Paikannetut yhteyshenkilöt,Tietojenkeruu yhteensä,Rekisteröity potilaana,Tietojenkeruun lähteen kulku nykyiseen tilaan,Tietojenkeruu ajanjaksolta,Päiviä uudessa tilassa,Altistuneet yhteyshenkilöt potilaan mukaan,Tietojenkeruu osavaltion mukaan,Tietojenkeruu kaupungin mukaan,tietojenkeruusta yhteensä,Näytä enemmän,Näytä vähemmän,Vierailijoiden ja vierailujen trendit,Tänään,Vierailujen kokonaismäärän trendi,Vierailut tilan mukaan,Vierailut osavaltion mukaan,Vierailut kaupungin mukaan,Vierailut,Vierailuja yhteensä,Suoritetut vierailut,Vierailijoita yhteensä,fi
*par rapport à hier,Vue d'ensemble,Demandes d'urgence,Statut de la demande d'urgence,Détails du contact exposé,par rapport à hier,Nombre total d'auto-signalements,Vue d'ensemble des réponses d'urgence,Détails de la visite,Semaine en cours,par rapport à la semaine dernière,Statut de la demande,Statut des contacts exposés,Vue d'ensemble des demandes d'urgence,Nombre total de demandes,Demandes par type,Patients,Nombre total de patients,Nombre total de contacts exposés,Détails du patient,Statut de test,Individus auto-signalés,Détails des individus auto-signalés,Contacts exposés,Détails de la collecte de données,Détails des demandes d'urgence,Analytiques de santé publique,Demandes,Collecte de données,Patients par condition,Statut de test,Surveillé à son domicile,Décompte des patients au fil du temps,Nombre de jours moyen,Nombre de jours minimum,Nombre de jours maximum,Par département/province et ville,Détails,Données démographiques,Patients par département/province,Patients par ville,Patients par âge,Patients par sexe,Patients asymptomatiques,Patients symptomatiques,Testés positifs,Contacts suivis,Total de la collecte de données,Inscrits en tant que patient,Flux de sources de collecte de données vers le statut actuel,Collecte de données au fil du temps,Jours sous le nouveau statut,Contacts exposés par patient,Collecte de données par département/province,Collecte de données par ville,sur le total de la collecte de données,Afficher plus,Afficher moins,Tendances des visiteurs et des visites,Aujourd'hui,Tendance des visites totales,Visites par statut,Visites par département/province,Visites par ville,Visites,Nombre total de visites,Visites réalisées,Nombre total de visiteurs,fr
* im Vergleich zu gestern,Übersicht,Notfallanforderungen,Notfallanforderungsstatus,Details zu exponiertem Kontakt,im Vergleich zu gestern,"Gesamte Personen, die sich selbst gemeldet haben",Notfallanforderungsübersicht,Besuchsdetails,Diese Woche,im Vergleich zur letzten Woche,Anforderungsstatus,Status der gefährdeten Kontakte,Übersicht über Notfallanforderungen,Anforderungen insgesamt,Anforderungen nach Typ,Patienten,Patienten insgesamt,Exponierte Kontakte insgesamt,Patientendetails,Teststatus,"Einzelpersonen, die sich selbst gemeldet haben","Details zu Personen, die sich selbst gemeldet haben",Gefährdete Kontakte,Aufnahmedetails,Details zur Notfallanforderung,Analyse im öffentlichen Gesundheitswesen,Anträge,Aufnahme,Patienten nach Erkrankung,Teststatus,Zu Hause überwacht,Patientenzahl im Laufe der Zeit,Durchschnittliche Tage,Mindestanzahl der Tage,Maximum an Tagen,Nach Bundesland und Stadt,Details,Demografische Daten,Patienten nach Status,Patienten nach Stadt,Patienten nach Alter,Patienten nach Geschlecht,Asymptomatische Patienten,Symptomatische Patienten,Positiv getestet,Nachverfolgte Kontakte,Aufnahme insgesamt,Als Patient registriert,Flow von Aufnahmequelle bis zum aktuellen Status,Aufnahme im Laufe der Zeit,Tage im neuen Status,Exponierte Kontakte nach Patient,Aufnahme nach Status,Aufnahme nach Stadt,der Gesamtaufnahme,Mehr anzeigen,Weniger anzeigen,Besucher- und Besuchstrends,Heute,Trend bei Gesamtbesuchen,Besuche nach Status,Besuche nach Bundesland,Besuche nach Stadt,Besuche,Besuche insgesamt,Abgeschlossene Besuche,Besucher insgesamt,de
rispetto a ieri,Panoramica,Richieste di emergenza,Stato richiesta di emergenza,Dettagli contatto esposto,rispetto a ieri,Auto-segnalate totali,Panoramica sulla risposta alle emergenze,Dettagli visita,Questa settimana,rispetto a settimana scorsa,Stato richiesta,Stato dei contatti esposti,Panoramica sulle richieste di emergenza,Richieste totali,Richieste per tipo,Pazienti,Pazienti totali,Contatti esposti totali,Dettagli paziente,Stato del test,Persone auto-segnalate,Dettagli persone auto-segnalate,Contatti esposti,Dettagli accettazione,Dettagli richiesta di emergenza,Analytics sulla salute pubblica,Richieste,Accettazione,Pazienti per patologia,Stato del test,Monitorato a casa,Conteggio pazienti nel tempo,Giorni in media,Num. minimo giorni,Num. massimo giorni,Per stato/provincia e città,Dettagli,Dati demografici,Pazienti per stato/provincia,Pazienti per città,Pazienti per età,Pazienti per sesso,Pazienti asintomatici,Pazienti sintomatici,Positivi al test,Contatti tracciati,Accettazione totale,Iscritto come paziente,Flusso dell'origine accettazione allo stato corrente,Accettazione nel tempo,Giorni nel nuovo stato,Contatti esposti per paziente,Accettazione per stato/provincia,Accettazione per città,dell'accettazione totale,Mostra di più,Mostra di meno,Tendenze visitatori e visite,Oggi,Tendenza visite totali,Visite per stato,Visite per stato/provincia,Visite per città,Visite,Visite totali,Visite completate,Visitatori totali,it
*前日比,概要,緊急の要求,緊急要求の状況,濃厚接触者の詳細,前日比,自己報告者総数,緊急対応の概要,訪問の詳細,今週,前週比,要求の状況,公開連絡先状況,緊急要求概要,総要求数,種別別要求数,患者,総患者数,公開連絡先数合計,患者の詳細,検査実施状況,自己申告の個人,自己申告の個人の詳細,公開連絡先,受入の詳細,緊急の要求の詳細,公共ヘルス分析,要求,受入,患者 (疾患別),検査実施状況,自宅観察,患者数 (経時),平均日数,最短日数,最長日数,都道府県および市区郡別,詳細,人口統計,患者数 (都道府県別),患者数 (市区郡別),患者数 (年齢別),患者数 (性別別）,患者数 (症状なし),患者数 (症状あり),陽性反応,追跡対象連絡先,受入合計数,患者登録,受入元から現在の状況までの流れ,受入 (経時),新しい状況での日数,公開連絡先数 (患者別),受入 (都道府県別),受入 (市区郡別),/受入合計数,表示件数を増やす,表示件数を減らす,訪問者と訪問の傾向,今日,総訪問数の傾向,訪問数 （状況別）,訪問数 （都道府県別),訪問数 （市区郡別),訪問数,総訪問数,完了訪問数,総訪問者数,ja
*vs 전날,개요,긴급 요청,긴급 요청 상태,노출 접촉자 세부 사항,vs 어제,총 자가 보고,긴급 대응 개요,방문 세부 사항,이번 주,vs 지난 주,요청 상태,노출 접촉 상태,긴급 요청 개요,총 요청,유형별 요청,환자,총 환자,총 노출 접촉,환자 세부 사항,검사 상태,자가 보고 개인,자가 보고 개인 세부 사항,노출 접촉,인테이크 세부 사항,긴급 요청 세부 사항,공중 보건 분석,요청,인테이크,상태별 환자,검사 상태,자택 모니터링,시간에 따른 환자 수,평균 일,최소 일,최대 일,시/도 및 구/군/시별,세부 사항,인구,시/도별 환자,구/군/시별 환자,연령별 환자,성별 환자,무증상 환자,증상 환자,검사 양성,접촉자 추적됨,총 인테이크,환자로 등록,인테이크 소스 플로 - 현재 상태,시간에 따른 인테이크,일 - 새로운 상태,환자별 노출 접촉,시/도별 인테이크,구/군/시별 인테이크,/총 인테이크,자세히 표시,간단히 표시,방문자 및 방문 추세,오늘,총 방문 추세,상태별 방문,시/도별 방문,구/군/시별 방문,방문,총 방문,완료 방문,총 방문자,ko
*ift i går,Oversikt,Nødforespørsler,Status for nødforespørsel,Detaljer om eksponert kontakt,ift i går,Totalt med egenmelding,Oversikt over krisehåndtering,Besøksdetaljer,Denne uken,ift forrige uke,Status for forespørsel,Status for eksponerte kontakter,Oversikt over nødforespørsler,Totalt antall forespørsler,Forespørsler per type,Pasienter,Totalt antall pasienter,Totalt antall eksponerte kontakter,Pasientdetaljer,Teststatus,Egenmeldte personer,Detaljer om personer med egenmelding,Eksponerte kontakter,Innleggelsesdetaljer,Detaljer om nødforespørsel,Public Health Analytics,Forespørsler,Innleggelse,Pasienter fordelt på tilstand,Teststatus,Overvåkes hjemme,Pasienttall over tid,Dager i snitt,Høyeste antall dager,Laveste antall dager,Per delstat og poststed,Detaljer,Demografi,Pasienter fordelt på delstat,Pasienter fordelt på poststed,Pasienter fordelt på alder,Pasienter fordelt på kjønn,Pasienter uten symptomer,Pasienter med symptomer,Testet positivt,Kontakter som er sporet,Totalt antall innleggelser,Registrert som pasient,Flyt fra innleggelseskilde til nåværende status,Innleggelser over tid,Dager med ny status,Eksponerte kontakter per pasient,Innleggelser fordelt på delstat,Innleggelser fordelt på poststed,av totalt antall innleggelser,Vis mer,Vis mindre,Besøker- og besøkstrender,I dag,Trend for totalt antall besøk,Besøk fordelt på status,Besøk fordelt på delstat,Besøk fordelt på poststed,Besøk,Totalt antall besøk,Fullførte besøk,Totalt antall besøkende,no
*comparado a ontem,Visão geral,Solicitações de emergência,Status da solicitação de emergência,Detalhes do contato exposto,vs. ontem,Total de autodeclarados,Visão geral de resposta,Detalhes da visita,Esta semana,vs. semana anterior,Status da solicitação,Status de contatos expostos,Visão geral das solicitações de emergência,Total de solicitações,Solicitações por tipo,Pacientes,Total de pacientes,Total de contatos expostos,Dados do paciente,Status do teste,Indivíduos autorrelatados,Dados do indivíduo autodeclarado,Contatos expostos,Detalhes da internação,Detalhes da solicitação de emergência,Análise de saúde pública,Solicitações,Internação,Pacientes por doença,Status de teste,Monitorado em casa,Contagem de pacientes ao longo do tempo,Média de dias,Mínimo de dias,Máximo de días,Por Estado e cidade,Detalhes,Dados demográficos,Pacientes por estado,Pacientes por cidade,Pacientes por idade,Pacientes por gênero,Pacientes assintomáticos,Pacientes sintomáticos,Com teste positivo,Contatos rastreados,Total de internações,Inscrito como paciente,Fluxo de origem da internação ao status atual,Internação ao longo do tempo,Dias no novo status,Contatos expostos por paciente,Internação por Estado,Internação por cidade,do total de internações,Mostrar mais,Mostrar menos,Tendências de visitas e visitantes,Hoje,Tendência do total de visitas,Visitas por status,Visitas por Estado,Visitas por cidade,Visitas,Total de visitas,Visitas concluídas,Total de visitantes,pt_BR
*против вчера,Общие сведения,Запросы на экстренную помощь,Статус запроса на экстренную помощь,Сведения о выявленном контакте,против вчера,Итого самостоятельно обратившихся,Общие сведения об экстренном реагировании,Сведения о посещении,Текущая неделя,против прошлой недели,Статус запроса,Статус выявленных контактов,Общие сведения о запросах на экстренную помощь,Итого запросов,Запросы по типу,Пациенты,Итого пациентов,Итого выявленных контактов,Сведения о пациенте,Статус тестирования,Самостоятельно обратившиеся лица,Сведения о самостоятельно обратившемся лице,Выявленные контакты,Сведения о получении,Сведения о запросе на экстренную помощь,Public Health Analytics,Запросы,Получение,Пациенты по состоянию,Статус тестирования,Наблюдается дома,Количество пациентов со временем,Среднее количество дней,Минимальное количество дней,Максимальное количество дней,По области и городу,Сведения,Демографические данные,Пациенты по области,Пациенты по городу,Пациенты по возрасту,Пациенты по полу,Пациенты без симптомов,Пациенты с симптомами,Положительный результат,Установленные контакты,Итого получений,Зарегистрирован как пациент,Переход от источника получения к текущему статусу,Получение со временем,Количество дней в новом статусе,Выявленные контакты по пациенту,Получение по области,Получение по городу,от общего количества получений,Показать больше,Показать меньше,Тренды посетителей и посещений,Сегодня,Тренд общего количества посещений,Посещения по статусу,Посещения по области,Посещения по городу,Посещения,Итого посещений,Завершенные посещения,Итого посетителей,ru
*frente a ayer,Visión general,Solicitudes de emergencia,Estado de solicitud de emergencia,Detalles de contacto expuesto,frente a ayer,Total de autodeclarados,Visión general de respuesta ante las emergencias,Detalles de visita,Esta semana,frente a semana pasada,Estado de solicitud,Estado de contactos expuestos,Visión general de solicitudes de emergencia,Total de solicitudes,Solicitudes por tipo,Pacientes,Total de pacientes,Total de contactos expuestos,Detalles de paciente,Estado de prueba,Individuos autodeclarados,Detalles de individuos autodeclarados,Contactos expuestos,Detalles de admisión,Detalles de solicitud de emergencia,Análisis de salud pública,Solicitudes,Admisión,Pacientes por dolencia,Estado de prueba,Monitoreado en domicilio,Conteo de pacientes con el tiempo,Media de días,Mínimo de días,Máximo de días,Por estado/provincia y ciudad,Detalles,Datos demográficos,Pacientes por estado,Pacientes por ciudad,Pacientes por edad,Pacientes por género,Pacientes asintomáticos,Pacientes con síntomas,Con test positivo,Contactos rastreados,Total de admisiones,Inscrito como paciente,Flujo de origen de admisión a estado actual,Admisiones a lo largo del tiempo,Días en nuevo estado,Contactos expuestos por paciente,Admisión por estado,Admisión por ciudad,de total de admisiones,Mostrar más,Mostrar menos,Tendencias de visitantes y visitas,Hoy,Tendencia de total de visitas,Visitas por estado,Visitas por estado/provincia,Visitas por ciudad,Visitas,Total de visitas,Visitas completadas,Total de visitantes,es_MX
*frente a ayer,Visión general,Solicitudes de emergencia,Estado de solicitud de emergencia,Detalles de contacto expuesto,frente a ayer,Total de autodeclarados,Visión general de respuesta ante las emergencias,Detalles de visita,Esta semana,frente a semana pasada,Estado de solicitud,Estado de contactos expuestos,Visión general de solicitudes de emergencia,Total de solicitudes,Solicitudes por tipo,Pacientes,Total de pacientes,Total de contactos expuestos,Detalles de paciente,Estado de prueba,Individuos autodeclarados,Detalles de individuos autodeclarados,Contactos expuestos,Detalles de admisión,Detalles de solicitud de emergencia,Análisis de salud pública,Solicitudes,Admisión,Pacientes por dolencia,Estado de prueba,Supervisado en domicilio,Recuento de pacientes con el tiempo,Media de días,Mínimo de días,Máximo de días,Por estado/provincia y ciudad,Detalles,Datos demográficos,Pacientes por provincia,Pacientes por ciudad,Pacientes por edad,Pacientes por género,Pacientes asintomáticos,Pacientes con síntomas,Con test positivo,Contactos rastreados,Total de admisiones,Inscrito como paciente,Flujo de origen de admisión a estado actual,Admisiones a lo largo del tiempo,Días en nuevo estado,Contactos expuestos por paciente,Admisión por provincia,Admisión por ciudad,de total de admisiones,Mostrar más,Mostrar menos,Tendencias de visitantes y visitas,Hoy,Tendencia de total de visitas,Visitas por estado,Visitas por provincia,Visitas por ciudad,Visitas,Total de visitas,Visitas completadas,Total de visitantes,es
*jämfört med gårdagen,Översikt,Nödbegäranden,Status för nödbegäran,Detaljer om exponerad kontakt,jämfört med igår,Totalt antal självrapporterade,Översikt av nödrespons,Besöksdetaljer,Den här veckan,jämfört med föregående vecka,Status för begäran,Status för exponerade kontakter,Översikt av nödbegäranden,Totalt antal begäranden,Begäranden efter typ,Patienter,Totalt antal patienter,Totalt antal exponerade kontakter,Patientdetaljer,Teststatus,Självrapporterade individer,Detaljer om självrapporterad individ,Exponerade kontakter,Intagningsdetaljer,Detaljer om nödbegäran,Public Health Analytics,Förfrågningar,Intagning,Patienter efter tillstånd,Teststatus,Bevakas hemma,Antal patienter över tid,Genomsnittligt antal dagar,Minsta antal dagar,Högsta antal dagar,Efter område och stad,Detaljer,Demografi,Patienter efter region,Patienter efter ort,Patienter efter ålder,Patienter efter kön,Asymptomatiska patienter,Symptomatiska patienter,Testat positivt,Kontakter spårade,Totalt intag,Registrerad som patient,Flöde för intagskälla till aktuell status,Intag över tid,Dagar med ny status,Exponerade kontakter efter patient,Intag efter region,Intag efter ort,av totalt intag,Visa mer,Visa mindre,Besökare och besökstrender,Idag,Total besökstrend,Besök efter status,Besök efter region,Besök efter ort,Besök,Totalt antal besök,Genomförda besök,Totalt antal besökare,sv
*VS เมื่อวานนี้,ภาพรวม,คำขอฉุกเฉิน,สถานะคำขอฉุกเฉิน,รายละเอียดผู้ติดต่อที่เปิดเผยตัว,เมื่อเทียบกับเมื่อวานนี้,ผู้ที่รายงานตนเองทั้งหมด,ภาพรวมการตอบสนองฉุกเฉิน,รายละเอียดการเข้าตรวจ,สัปดาห์นี้,เมื่อเทียบกับสัปดาห์ที่แล้ว,สถานะการร้องขอ,สถานะของผู้ติดต่อที่เปิดเผยตัว,ภาพรวมคำขอฉุกเฉิน,คำขอทั้งหมด,คำขอตามประเภท,ผู้ป่วย,ผู้ป่วยรวม,ผู้ติดต่อที่เปิดเผยตัวทั้งหมด,รายละเอียดผู้ป่วย,สถานะการทดสอบ,ผู้ที่รายงานตนเอง,รายละเอียดผู้ที่รายงานตนเอง,ผู้ติดต่อที่เปิดเผยตัว,รายละเอียดการรับผู้ป่วย,รายละเอียดคำขอฉุกเฉิน,การวิเคราะห์ทางสาธารณสุข,ร้องขอ,การรับผู้ป่วย,ผู้ป่วยตามเงื่อนไข,สถานะการทดสอบ,สังเกตอาการที่บ้าน,จำนวนผู้ป่วยเมื่อเวลาผ่านไป,จำนวนวันเฉลี่ย,จำนวนวันต่ำสุด,จำนวนวันสูงสุด,ตามรัฐและเมือง,รายละเอียด,สถิติประชากร,ผู้ป่วยตามรัฐ,ผู้ป่วยตามเมือง,ผู้ป่วยตามอายุ,ผู้ป่วยตามเพศ,ผู้ป่วยที่ไร้อาการโรค,ผู้ป่วยที่มีอาการโรค,ผู้ที่ผลทดสอบเป็นบวก,ติดตามผู้ติดต่อแล้ว,การรับผู้ป่วยทั้งหมด,ลงทะเบียนในฐานะผู้ป่วย,กระแสของที่มาของการรับผู้ป่วยในสถานะปัจจุบัน,การรับผู้ป่วยเมื่อเวลาผ่านไป,จำนวนวันในสถานะใหม่,ผู้ติดต่อที่เปิดเผยตัวตามผู้ป่วย,การรับผู้ป่วยตามรัฐ,การรับผู้ป่วยตามเมือง,ของการรับผู้ป่วยทั้งหมด,แสดงอีก,แสดงน้อยลง,ผู้เข้าตรวจและแนวโน้มการเข้าตรวจ,วันนี้,แนวโน้มการเข้าตรวจรวม,การเข้าตรวจตามสถานะ,การเข้าตรวจตามรัฐ,การเข้าตรวจตามเมือง,การเข้าตรวจ,การเข้าตรวจรวม,การเข้าตรวจที่เสร็จสมบูรณ์,ผู้เข้าตรวจทั้งหมด,th
